user_id,signup_date,city,device
1,2025-01-07,Mumbai,Android
2,2025-01-20,Hyderabad,iOS
3,2025-01-29,Pune,Android
4,2025-01-15,Bangalore,iOS
5,2025-01-11,Bangalore,Android
6,2025-01-08,Delhi,Android
7,2025-01-29,Pune,iOS
8,2025-01-21,Delhi,Android
9,2025-01-07,Mumbai,iOS
10,2025-01-26,Pune,Android
11,2025-01-19,Mumbai,Android
12,2025-01-23,Delhi,Android
13,2025-01-11,Pune,iOS
14,2025-01-11,Hyderabad,Android
15,2025-01-24,Bangalore,Android
16,2025-01-21,Bangalore,iOS
17,2025-01-04,Hyderabad,Android
18,2025-01-08,Mumbai,Android
19,2025-01-24,Bangalore,iOS
20,2025-01-03,Delhi,Android
21,2025-01-22,Bangalore,iOS
22,2025-01-21,Pune,iOS
23,2025-01-02,Pune,Android
24,2025-01-24,Bangalore,iOS
25,2025-01-12,Hyderabad,iOS
26,2025-01-30,Delhi,iOS
27,2025-01-06,Pune,iOS
28,2025-01-02,Pune,iOS
29,2025-01-28,Hyderabad,iOS
30,2025-01-21,Pune,Android
31,2025-01-01,Pune,Android
32,2025-01-12,Bangalore,Android
33,2025-01-26,Delhi,Android
34,2025-01-22,Mumbai,iOS
35,2025-01-29,Delhi,Android
36,2025-01-12,Delhi,Android
37,2025-01-25,Hyderabad,iOS
38,2025-01-17,Bangalore,Android
39,2025-01-27,Bangalore,Android
40,2025-01-27,Hyderabad,Android
41,2025-01-10,Bangalore,iOS
42,2025-01-28,Delhi,iOS
43,2025-01-28,Hyderabad,Android
44,2025-01-16,Bangalore,Android
45,2025-01-15,Bangalore,Android
46,2025-01-30,Mumbai,iOS
47,2025-01-30,Hyderabad,Android
48,2025-01-15,Hyderabad,Android
49,2025-01-30,Mumbai,iOS
50,2025-01-19,Hyderabad,Android
51,2025-01-12,Hyderabad,iOS
52,2025-01-23,Mumbai,Android
53,2025-01-20,Pune,iOS
54,2025-01-25,Hyderabad,iOS
55,2025-01-03,Pune,Android
56,2025-01-05,Bangalore,iOS
57,2025-01-19,Hyderabad,Android
58,2025-01-07,Delhi,iOS
59,2025-01-21,Bangalore,iOS
60,2025-01-09,Mumbai,iOS
61,2025-01-07,Delhi,Android
62,2025-01-18,Bangalore,iOS
63,2025-01-04,Hyderabad,iOS
64,2025-01-25,Bangalore,Android
65,2025-01-28,Hyderabad,iOS
66,2025-01-14,Delhi,iOS
67,2025-01-18,Bangalore,iOS
68,2025-01-26,Pune,Android
69,2025-01-09,Mumbai,Android
70,2025-01-26,Bangalore,Android
71,2025-01-21,Delhi,iOS
72,2025-01-02,Delhi,iOS
73,2025-01-20,Hyderabad,Android
74,2025-01-28,Mumbai,Android
75,2025-01-15,Delhi,iOS
76,2025-01-28,Pune,iOS
77,2025-01-07,Hyderabad,Android
78,2025-01-12,Pune,Android
79,2025-01-29,Mumbai,iOS
80,2025-01-08,Bangalore,iOS
81,2025-01-15,Delhi,iOS
82,2025-01-03,Mumbai,iOS
83,2025-01-14,Pune,Android
84,2025-01-17,Delhi,Android
85,2025-01-04,Hyderabad,Android
86,2025-01-18,Pune,iOS
87,2025-01-08,Bangalore,Android
88,2025-01-04,Hyderabad,Android
89,2025-01-02,Delhi,Android
90,2025-01-30,Pune,Android
91,2025-01-06,Pune,Android
92,2025-01-22,Hyderabad,Android
93,2025-01-10,Pune,Android
94,2025-01-04,Pune,iOS
95,2025-01-22,Mumbai,iOS
96,2025-01-29,Delhi,Android
97,2025-01-18,Delhi,iOS
98,2025-01-26,Pune,iOS
99,2025-01-12,Delhi,Android
100,2025-01-02,Delhi,iOS
101,2025-01-10,Bangalore,iOS
102,2025-01-30,Hyderabad,iOS
103,2025-01-04,Mumbai,Android
104,2025-01-14,Delhi,iOS
105,2025-01-16,Pune,iOS
106,2025-01-15,Hyderabad,Android
107,2025-01-08,Bangalore,Android
108,2025-01-14,Hyderabad,Android
109,2025-01-23,Bangalore,iOS
110,2025-01-28,Pune,Android
111,2025-01-25,Delhi,Android
112,2025-01-30,Hyderabad,Android
113,2025-01-08,Bangalore,Android
114,2025-01-21,Hyderabad,iOS
115,2025-01-16,Bangalore,iOS
116,2025-01-13,Delhi,Android
117,2025-01-18,Bangalore,Android
118,2025-01-15,Mumbai,iOS
119,2025-01-21,Hyderabad,Android
120,2025-01-24,Mumbai,Android
121,2025-01-26,Pune,Android
122,2025-01-25,Bangalore,Android
123,2025-01-28,Mumbai,Android
124,2025-01-28,Bangalore,iOS
125,2025-01-28,Bangalore,Android
126,2025-01-13,Delhi,iOS
127,2025-01-09,Delhi,Android
128,2025-01-29,Delhi,iOS
129,2025-01-15,Mumbai,Android
130,2025-01-13,Pune,Android
131,2025-01-01,Hyderabad,Android
132,2025-01-25,Pune,Android
133,2025-01-07,Hyderabad,Android
134,2025-01-09,Hyderabad,Android
135,2025-01-24,Delhi,iOS
136,2025-01-01,Hyderabad,iOS
137,2025-01-12,Delhi,iOS
138,2025-01-08,Mumbai,Android
139,2025-01-24,Hyderabad,iOS
140,2025-01-11,Pune,Android
141,2025-01-19,Pune,Android
142,2025-01-17,Pune,Android
143,2025-01-08,Delhi,iOS
144,2025-01-03,Pune,iOS
145,2025-01-03,Delhi,Android
146,2025-01-01,Pune,Android
147,2025-01-27,Hyderabad,Android
148,2025-01-05,Hyderabad,iOS
149,2025-01-10,Bangalore,Android
150,2025-01-07,Pune,Android
151,2025-01-26,Pune,Android
152,2025-01-09,Hyderabad,Android
153,2025-01-28,Pune,Android
154,2025-01-07,Hyderabad,Android
155,2025-01-09,Bangalore,Android
156,2025-01-08,Delhi,iOS
157,2025-01-12,Mumbai,Android
158,2025-01-02,Hyderabad,iOS
159,2025-01-01,Pune,iOS
160,2025-01-16,Delhi,Android
161,2025-01-23,Delhi,Android
162,2025-01-23,Hyderabad,iOS
163,2025-01-30,Mumbai,Android
164,2025-01-24,Mumbai,Android
165,2025-01-05,Delhi,iOS
166,2025-01-03,Hyderabad,iOS
167,2025-01-12,Delhi,Android
168,2025-01-08,Hyderabad,Android
169,2025-01-22,Mumbai,iOS
170,2025-01-27,Pune,iOS
171,2025-01-03,Hyderabad,iOS
172,2025-01-01,Pune,Android
173,2025-01-03,Pune,Android
174,2025-01-05,Pune,Android
175,2025-01-15,Hyderabad,Android
176,2025-01-14,Hyderabad,iOS
177,2025-01-03,Mumbai,Android
178,2025-01-01,Pune,Android
179,2025-01-05,Pune,Android
180,2025-01-26,Pune,iOS
181,2025-01-23,Pune,Android
182,2025-01-14,Bangalore,Android
183,2025-01-07,Delhi,iOS
184,2025-01-27,Hyderabad,Android
185,2025-01-09,Mumbai,iOS
186,2025-01-15,Mumbai,Android
187,2025-01-15,Mumbai,Android
188,2025-01-26,Bangalore,Android
189,2025-01-10,Pune,Android
190,2025-01-28,Pune,iOS
191,2025-01-13,Hyderabad,iOS
192,2025-01-19,Hyderabad,iOS
193,2025-01-07,Mumbai,Android
194,2025-01-17,Hyderabad,Android
195,2025-01-20,Bangalore,Android
196,2025-01-29,Delhi,iOS
197,2025-01-04,Delhi,iOS
198,2025-01-30,Bangalore,Android
199,2025-01-05,Delhi,iOS
200,2025-01-23,Bangalore,Android
201,2025-01-07,Pune,Android
202,2025-01-13,Bangalore,iOS
203,2025-01-15,Mumbai,Android
